Share of wind and solar in electricity production  (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (points) ,2000 - 2018 (points) 
Chile,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,02","0,01","0,01","0,01","0,01","0,02","0,06","0,29","0,73","0,51","0,59","0,77","2,72","4,48","6,42","9,47","11,07","1,6",-
Colombia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,10","0,12","0,09","0,10","0,10","0,07","0,07","0,09","0,08","0,10","0,09","0,07","0,00","0,05","0,1",-
Mexico,"4,43","4,23","4,37","4,34","3,81","3,73","3,64","3,27","3,12","2,95","2,88","2,61","2,49","2,67","2,78","2,92","2,62","2,89","2,73","2,75","2,86","2,71","3,12","3,48","4,19","4,93","5,24","5,39","6,28","0,9","3,4"
Venezuela,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-
Asia,"1,25","1,21","1,14","1,08","1,10","1,13","1,13","1,10","1,03","1,06","1,08","1,06","1,01","0,99","0,95","0,94","0,98","0,98","1,12","1,35","1,50","1,82","2,18","2,77","3,15","3,75","4,57","5,71","6,79","1,1","5,7"
China,"0,01","0,01","0,02","0,02","0,02","0,02","0,02","0,03","0,04","0,05","0,06","0,06","0,06","0,06","0,07","0,09","0,14","0,18","0,44","0,74","1,08","1,55","2,05","2,88","3,27","3,94","5,03","6,47","7,75","1,3","7,7"
India,"0,01","0,01","0,03","0,03","0,05","0,13","0,21","0,22","0,22","0,28","0,30","0,38","0,44","0,55","0,66","0,87","1,26","1,44","1,64","2,06","2,02","2,37","2,88","3,13","3,34","3,80","3,99","5,17","6,40","1,2","6,1"
Indonesia,"3,44","2,81","2,61","2,40","3,77","3,73","3,47","3,49","3,35","3,18","5,22","5,96","5,76","5,57","5,54","5,18","5,00","4,94","5,56","5,93","5,52","5,11","4,71","4,36","4,41","4,30","4,30","5,01","5,21","0,2","0,0"
Japan,"2,46","2,46","2,43","2,42","2,45","2,66","2,71","2,61","2,27","2,30","2,24","2,33","2,32","2,50","2,42","2,49","2,59","2,59","2,54","2,76","2,81","3,18","3,38","4,01","4,99","6,14","7,64","8,42","9,59","1,2","7,3"
Malaysia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,10","0,15","0,18","0,20","0,22","0,26","0,0",-
South Korea,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,02","0,04","0,07","0,11","0,17","0,29","0,36","0,40","0,45","0,70","0,93","1,25","1,50","1,90","2,18","0,3","2,2"
Taiwan,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,04","0,12","0,18","0,25","0,35","0,40","0,56","0,61","0,78","0,79","0,93","0,98","1,27","1,62","0,3","1,6"
