Total energy production (Mtoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
Thailand,"26,58","29,62","30,86","30,21","31,69","33,20","37,15","40,04","39,70","41,54","43,95","43,12","45,98","49,32","51,27","55,19","57,35","60,49","65,51","64,63","70,59","68,68","75,46","78,09","78,75","75,18","78,80","75,17","73,55","-2,16","2,90"
Pacific,"176,18","186,71","191,94","195,41","193,97","206,83","210,97","221,38","235,95","234,46","253,87","268,81","273,45","269,56","271,02","282,80","288,35","304,78","306,44","315,17","343,11","331,36","339,55","364,42","389,76","408,53","418,00","435,21","454,93","4,53","3,29"
Australia,"157,41","166,89","171,47","174,26","172,87","186,89","189,75","201,12","216,58","213,67","233,69","249,17","254,06","251,59","253,37","265,16","269,84","286,12","286,78","295,29","323,34","312,70","320,85","344,47","365,54","381,21","390,60","407,34","426,41","4,68","3,40"
New Zealand,"12,31","12,76","13,12","13,62","13,24","13,09","14,02","14,62","13,52","14,01","14,46","14,53","14,78","13,48","13,43","13,04","13,42","14,29","15,15","15,50","17,06","16,30","16,19","16,29","17,12","16,67","16,20","16,11","15,35","-4,68","0,33"
Africa,"678,53","705,14","714,13","725,89","735,32","762,64","790,92","828,25","840,96","851,25","873,98","888,92","896,90","958,91","1 019,14","1 074,49","1 099,54","1 133,27","1 149,19","1 125,36","1 162,50","1 090,84","1 152,39","1 109,05","1 101,58","1 100,52","1 087,91","1 138,05","1 153,57","1,36","1,55"
Algeria,"100,10","102,57","104,19","104,92","100,60","106,71","112,65","121,63","127,08","136,96","142,21","136,76","143,12","155,30","157,87","166,65","164,92","164,28","162,03","153,04","150,51","145,83","143,76","137,67","143,20","142,76","153,25","152,66","151,08","-1,04","0,34"
Egypt,"54,86","55,52","56,55","59,77","59,20","59,81","58,67","57,69","57,20","59,32","53,09","57,02","59,01","62,06","62,32","77,98","80,97","85,35","89,14","87,99","84,49","83,69","82,17","77,32","73,99","69,57","67,61","72,38","80,38","11,05","2,33"
Nigeria,"146,30","152,49","157,67","160,46","161,68","164,62","177,12","188,77","184,62","183,10","197,93","207,78","192,21","215,62","229,52","233,54","233,20","236,03","231,98","225,35","253,97","259,09","265,88","249,52","253,77","254,17","239,76","246,07","256,09","4,07","1,44"
South Africa,"114,54","116,93","115,04","122,99","128,28","134,78","134,99","143,36","144,99","144,76","145,11","144,14","142,82","152,21","156,24","156,37","155,77","156,96","159,81","158,16","161,40","160,40","162,83","162,47","164,95","162,01","162,79","164,32","163,97","-0,22","0,68"
Middle-East,"939,93","940,17","1 037,98","1 102,70","1 120,72","1 138,00","1 146,87","1 204,83","1 268,27","1 246,92","1 324,86","1 314,81","1 260,90","1 360,29","1 452,00","1 518,13","1 551,92","1 554,50","1 624,84","1 548,16","1 628,58","1 767,76","1 791,58","1 811,00","1 835,94","1 898,27","2 057,25","2 050,82","2 090,54","1,94","2,57"
Iran,"187,83","200,46","214,91","227,86","231,33","237,66","235,23","237,97","241,20","244,33","253,65","248,36","253,97","281,15","292,67","310,65","322,72","337,37","337,75","334,16","342,24","345,65","297,39","297,93","316,33","322,58","391,04","418,68","418,48","-0,05","2,82"
Kuwait,"50,38","10,05","59,75","106,55","113,90","114,90","115,22","115,14","117,43","107,68","114,24","111,92","100,75","120,89","131,47","146,75","150,87","146,79","153,05","130,44","134,56","154,20","173,11","170,33","166,41","167,85","174,51","164,67","167,74","1,86","2,16"
Saudi Arabia,"368,44","463,65","477,20","471,75","461,85","464,24","469,06","464,48","478,65","442,37","475,83","464,00","434,74","506,43","542,59","570,92","565,29","546,48","572,95","519,27","531,44","592,68","625,00","614,48","622,42","648,61","670,53","653,16","676,46","3,57","1,97"
United Arab Emirates,"110,20","127,29","133,96","131,29","133,56","137,03","140,01","147,24","150,50","142,33","153,88","155,16","148,26","162,30","170,06","175,39","185,17","183,31","185,56","171,78","177,74","197,43","204,81","212,25","214,68","229,63","236,64","229,30","233,58","1,86","2,35"
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
