Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
Thailand,"44,18","50,19","57,10","63,41","71,18","80,08","89,84","93,23","90,05","90,04","95,98","102,42","109,01","116,98","125,73","132,20","138,74","143,38","147,43","148,39","159,52","155,99","166,64","170,15","172,26","177,48","191,32","188,03","188,99","0,51","3,84"
Pacific,"189,68","192,52","194,87","200,37","204,31","211,54","216,60","222,46","235,98","245,04","252,78","267,88","271,86","265,61","275,20","275,93","280,67","291,28","291,51","295,99","302,16","302,93","299,95","297,82","296,21","300,92","305,11","305,76","308,24","0,81","1,11"
Australia,"155,02","156,82","159,55","163,65","167,46","173,16","177,60","182,94","195,37","203,99","210,22","224,64","227,56","220,80","228,43","228,65","232,83","243,16","243,22","248,16","252,66","253,82","250,93","249,37","247,45","251,42","256,56","256,64","258,99","0,92","1,17"
New Zealand,"32,27","33,30","32,89","34,28","34,85","36,06","36,47","37,11","37,61","37,82","39,25","39,57","40,37","40,53","42,52","42,72","43,34","43,51","43,61","43,19","44,62","44,20","44,01","43,04","43,32","44,04","43,03","43,52","43,61","0,20","0,59"
Africa,"318,56","326,47","329,01","340,91","352,84","364,48","385,86","403,06","409,41","421,99","445,52","461,97","490,33","511,84","543,78","564,05","590,01","615,58","624,27","629,27","674,98","698,48","726,20","747,06","773,14","795,68","811,71","835,63","855,45","2,37","3,69"
Algeria,"17,24","18,54","19,45","20,65","21,18","20,94","21,91","22,94","25,26","26,78","27,59","28,80","29,73","31,79","33,48","36,32","37,77","39,94","42,60","40,63","48,24","55,77","62,15","64,76","70,79","75,38","77,96","83,49","86,60","3,73","6,56"
Egypt,"42,26","44,30","45,68","47,80","49,30","52,00","55,14","58,43","62,97","68,50","78,14","83,28","89,19","95,18","101,30","108,69","115,41","125,13","131,04","139,00","146,80","157,41","164,63","168,05","174,88","186,32","194,33","199,57","206,57","3,51","5,55"
Nigeria,"13,46","14,17","14,83","14,51","15,53","15,86","16,24","16,12","15,11","16,09","14,73","15,46","21,55","20,18","24,28","23,54","23,11","22,98","21,11","19,78","26,12","27,03","28,71","28,88","30,39","31,43","30,90","30,79","33,31","8,17","4,64"
South Africa,"167,23","168,32","168,09","174,71","181,69","186,66","201,72","210,36","205,37","203,01","210,67","210,10","220,58","234,23","244,61","244,92","253,80","263,48","258,29","249,56","259,60","262,54","257,92","256,07","252,58","249,66","252,75","255,10","255,97","0,34","1,09"
Middle-East,"244,49","246,14","279,93","308,86","329,80","345,76","366,03","389,85","421,17","444,71","472,21","499,86","533,50","564,17","598,68","645,77","689,99","731,90","785,84","818,36","891,73","916,33","958,39","988,62","1 056,89","1 111,77","1 147,20","1 194,45","1 219,47","2,09","5,41"
Iran,"59,10","64,13","68,68","76,20","81,88","84,98","90,87","97,77","103,46","112,66","121,38","130,20","141,08","153,88","166,92","178,09","192,68","203,99","214,53","221,37","232,96","240,05","254,28","262,43","274,61","280,63","289,09","307,86","310,84","0,97","5,36"
Kuwait,"18,48","10,78","16,89","20,18","22,80","23,72","25,48","26,72","29,98","31,58","32,32","34,30","36,36","39,80","41,26","43,73","47,61","48,75","51,75","53,22","57,03","57,46","62,66","60,98","65,14","68,29","70,09","72,79","74,96","2,98","4,78"
Saudi Arabia,"69,21","74,01","82,19","91,04","93,92","97,85","101,11","107,55","114,62","119,02","126,19","133,67","141,74","153,00","159,88","176,12","181,43","190,54","204,20","217,08","240,07","250,08","271,68","284,02","311,81","338,34","344,81","349,60","351,14","0,44","5,85"
United Arab Emirates,"17,08","17,35","18,69","21,73","23,74","24,98","26,57","28,40","33,39","37,13","39,94","43,17","46,86","49,45","52,42","60,70","66,77","76,11","86,26","90,57","97,73","99,14","102,60","106,22","116,53","127,37","129,60","134,55","136,93","1,77","7,08"
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
