Share of renewables in electricity production (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (points) ,2000 - 2018 (points) 
Egypt,"23,50","22,35","21,24","21,94","22,25","21,95","20,96","20,52","19,41","21,44","17,70","18,43","14,65","14,06","13,00","12,14","11,73","13,06","11,90","10,07","10,05","9,33","8,88","8,81","8,87","8,46","8,07","7,96","8,21","0,3","-9,5"
Nigeria,"32,59","41,86","40,85","38,41","35,81","34,68","33,86","34,70","38,22","38,21","38,22","38,22","38,22","36,90","33,40","33,00","27,10","27,10","27,10","22,90","24,40","21,76","19,71","18,44","17,59","18,20","18,08","18,09","16,72","-1,4","-21,5"
South Africa,"1,70","2,25","1,24","0,85","1,43","0,97","1,78","2,30","2,07","1,73","2,01","2,01","2,11","1,69","2,00","1,83","2,41","1,56","1,65","1,78","2,06","2,02","1,75","1,70","2,58","3,55","4,37","4,99","5,29","0,3","3,3"
Middle-East,"4,88","4,56","4,87","4,46","3,46","3,22","3,10","2,84","2,65","1,96","1,71","1,91","2,22","2,80","2,77","4,28","4,23","3,83","1,53","1,63","2,03","2,20","2,28","2,50","2,00","1,80","2,18","1,95","2,11","0,2","0,4"
Iran,"10,29","11,00","13,88","12,89","9,09","8,58","8,13","7,09","6,80","4,44","3,05","3,93","5,75","7,23","6,39","9,08","9,54","8,89","2,42","3,37","4,16","5,12","4,99","5,71","5,20","5,10","5,78","5,00","5,32","0,3","2,3"
Kuwait,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
Saudi Arabia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
United Arab Emirates,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,09","0,26","0,23","0,27","0,27","0,44","0,2",-
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
